Audio ID,Transcription
0,बेकार में बड़ाटी शर्ट डाल दो कार्ट में
1,सात नहींफिटनेस बैंड चाहिए था पुरे नॉ नॉ
2,ढूंढो नेलकटर नेलकटर नेलकटर 
3,माइक्रो ओवन डू यू हैव माइक्रो ओवन माइक्रो ओवन माइक्रो ओवन होगा
4,पतंजलि कादंत कांति मिलेगा क्या 
5,चप्पलअच्छा वाला 
6,इनफिनिक्सहॉट मोबाइलफोर जी बीसिक्सटी फोर जी बी 
7,व्हाट इज द प्राइस ऑफ आईफोन एक्स आर
8,लॉन्ग स्कर्ट्स फॉर वूमैन अंडर टू थाउजेंड रूपीज 
9,मेन डियोड्रेंट्स कितने में मिलेंगे
10,एक्टिवा फोर जी कितने का हैं प्राइस कितना हैं इसका
11,कर्लन के मैट्रेस दिखाओचला जाए कहीं
12,ट्रिमर अंडर सिक्स थाउजेंड विदटू आवर्स बैटरी लाइफ
13,उषा का छत वाला फैन मिलेगा क्या 
14,पर लेनोवो वन ट्वेंटी प्रोबैटरी
15,कॉटन के ड्रेस मैटेरियल्स दिखाओ 
16,रियलमी थ्री का बेस्ट ऑफ़र दिखाओ 
17,मुझे सादा चप्पल चाहिए होम यूज करने वाला 
18,एप्पल वाच सीरीज फॉर जी पी एस कितने की आती हैं 
19,
20,वाइल्डक्राफ्ट मास्क 
21,आई वांट टू सी मास्क 
22,बेल स्लीव का टॉप दिखाइए गर्ल्स के लिएहाँ हाँ रुको गिजर ऑन कर गिजर ऑन कर
23,शो मी ऑल लैपटॉप्स विद एस एस डी विद आई टेंथ जेनरेशन 
24,मुझे सुन्दर झुमके दिखाइए 
25,मोदी वाला जैकेट दिखाए तो आज पूरी दुनिया से मोदी वाला जैकेट दिखाइए कोरोना के वैक्सीन
26,मुझे शर्ट देखना हैं 
27,एल जी डेढ़ टन फाइव स्टार स्प्लिट वाल ए सी 
28,तू रह पार्टी वियर ज्वेलरी दिखाओमस्त मस्त सुन्दर सुन्दर पार्टी वियर ज्वेलरीऔर 
29,तोशीबा लैपटॉप विद एस एस डी 
30,दो किलो चीनी 
31,ज्वेलरी सेट दिखाओ 
32,शादी वाला जूता दिखाओ शादी में जो पहनते हैं ना वह वाला जूता दिखाओ मुझे 
33,आई वांट लेडीज एल साइज जींस पैंट विद फिफ्टी पर्सेंट डिस्काउंट
34,अच्छा वाला सैमसंग टैब 
35,ब्रैंडेड जींस 
36,नवरत्ना ऑयल नवरत्ना ऑयल मिलेगा क्या आपके पास 
37,रिमोट कंट्रोल टॉयज चाहिए
38,इसअरे पीला नहीं नीले कलर का कुर्ता व्हाट वी कैन डू इस फर्स्ट वी कैन गो
39,एनी ऑफ़र इन इलेक्ट्रॉनिक सेक्शन आई ऐम सर्चिंग फॉर 
40,आई वांट लैपटॉप व्हिच हैज टू जी बी रैम ऐंड फाइव हंड्रेड जी बी हार्ड डिस्क
41,आई नीड जिम आइटम्स चाहे
42,अच्छा वाला ट्राइपॉड जिसमे कैमरा और मोबाइल दोनोंइंस्टॉल कर सके 
43,गरम ओड़ने के लिए ब्लैंकेट दिखाना ब्लैंकेट चाहिए मुझे ब्लैंकेट 
44,नहीं होताचेकबताओचूड़ी बताओलिए तुम्हें अपने हाथ प्रतिज्ञा के 
45,इयररिंग्स गोल्ड का 
46,डू यू सेल बाथटब इन फ्लिपकार्ट
47,मुझे वाटर हीटर चाहिए वाटर हीटर पानी गरम करने वाला 
48,अच्छा साड़ी बताओ 
49,पॉपुलेशनडेली यूज गाउनअमाबस्य पे जो कुंभ मेला होता हैं चार 
50,रेडमीप्रो 
51,पार्टी वियर शूज
52,पूजा के आइटम्स दिखाओं 
53,मेबेलीन का लिपस्टिक दिखाइएलाइट कलर में 
54,उन्नीस हज़ार का मोबाइल दिखाइए
55,टी शर्ट्सफोर्टीन फिफ्टीन इयर्स बॉयज
56,हैंड रिमोट कंट्रोल कारफॉर माय किड्स 
57,स्केट बाइसाइकिल डबल टू डबल अगेन
58,सैमसंग के एल इ डी टी वी का रेट क्या हैंएंड फरदर औपटीमाईजेशन
59,संबलपुरी साड़ी बताओ
60,फॉर्च्यून सोयाबीन ऑयल 
61,मुझे लेटेस्ट वाला पेंसिल फिट पैंट चाहिए 
62,सोप्स में क्या हैं आपके पास मध्य प्रदेश हैं या कानून का राज हैंएक कमज़ोर
63,सैनिटाइजर सैनिटाइजर 
64,जितनीटू अवॉइड दैट हाइड एंड सीक बिस्
65,बोलिए क्या चाहिए आपकोंबोलिएबोलिए 
66,जींस हैं क्या हज़ार के नीचे
67,शो मी सम गुड डील इन मोबाइल
68,बाल में लगाने वाला हेयर का तेल 
69,फ्रिज में कुछ नया दिखाओ
70,फाउंडेशन में क्या हैं दिखाइए
71,चाय पत्ती चाहिए 
72,ये ग्रीन टी का रेट क्या हैं 
73,सीलिंग फैन दिखाइए रिमोट कंट्रोल वाला नहीं नहीं टेबल फैन नहीं सीलिंग फैन नहीं नहीं टेबल फैन
74,उसने वायरस को इम्प्रेसपोलो टी शर्ट दिखाइए मुझे 
75,रोना वैक्सीन कब तक आएगीकोरोना पता हैं आपकोंकोरोना संकट के अंधेरों को खत्म करने का सम
76,डैटौल का हैंड सैनिटाइज़र छोटा वालाटू यू हैप्पी बर्थडे
77,
78,आई नीड प्रीमियर लीग सीज़न इलेक्ट्रिकल तराजू 
79,शो मी विनेगरकाम करना चाहिएजितना टाइम 
80,पॉलीथिन पॉलीथिन पॉलीथिन
81,असूस रोग फ़ोन आर ओ जी फ़ोन
82,शो मी मैंस स्पोर्ट शूज 
83,अच्छा डिस्काउंट किसपे दे रहा हैंदिखा दो वो प्रोडक्टजितना
84,बाजा 
85,छोटे बच्चे का साइकिल 
86,आई एम लुकिंग फॉर ट्राइपॉड इन बजट 
87,एम आई फाइव प्रो का बैक कवर फ्लिप वाला 
88,मोबाइल
89,पार्टी के लिए कोई अच्छी सी ड्रेस दिखा दोबावरा हैं
90,शो मी लेटेस्ट जींस पैंट ऑफ लेडीज 
91,मी मी ए थ्रीरेडमी रेडमी ए थ्री
92,इज दैट ट्रू मुझे विंडो कर्टेन्स दिखाओटेक्निकलनॉलेजशेयरटेक्निकल सेशन 
93,मी नोट एट वाचस् अंडर सिक्स हंड्रेड
94,बौ एंड ऐरो अर्जुन जैसा
95,सस्ती साड़ी
96,क्रोम्पटन स्टोरेज वाटर गीजर फिफ्टी लिटर्स
97,मुझे पोर्टेबल लैपटॉप टेबल चाहिए
98,मंजिल लिपस्टिक कबूतर का बच्चा मम्मा मम्मा
99,ट्रैक पैंट्स फॉर जेंट्स फॉर द ऐज ऑफ थर्टी एट 
100,हाउ मच इज फॉर येलो कलर शॉर्ट कुर्तियाँ
101,पेहला बिस्किट का पैकेट कार्ट में डाल दो 
102,डव साबुन है क्या 
103,कमरबंध की रेट दिखाओ पंछियों  को प्रतिज्ञाएं करने में इतनी रुचि क्यों है पितामह प्रतिज्ञा में जकड़े
104,सेंटेड कैंडल में कौन से सेंट अवेलेबल है आपके पास 
105,शो मी निविया मेन एक्टिव डीप चारकोल शावर जेल 
106,नोकिया फोन स्क्रीन टच बेकार
107,डाबर हनी का दाम बताइये
108,वन रूपीज ऑफर वाला ग्रोसरिएस फ्लिपकार्ट 
109,थर्टी पर्सेंट ऑफ ऑन
110,आई वांट सम फैंसी ब्रेसलेट्स एंड इयरिंग्स
111,शो मी ऑल न्यू मॉडल मोबाइल विथ फॉर जी बी रैम एंड फोटो इन दबैटरी
112,थ्री बाई सिक्स फोटो फ्रेम 
113,टाइटन वॉच 
114,वन प्लस लेटेस्ट टी वी 
115,का डुप्लीकेट प्लांट 
116,बेड चाहिए मुझे
117,डाउनलोड करे अमेरिकन टूरिस्टर ट्राली दिखाओगे खबर वही
118,स्ट्राइप्डशर्ट फॉर मेन 
119,आई एम सर्चिंग फॉर लिप बाम 
120,दो साल बच्चों के लिए कपड़े दिखाना तुझपे ही तो मेरा हक जींस पैंट दिखाना
121,रिमोट कंट्रोल कार 
122,सन ग्लासेस पे कितना डिस्काउंट मिलेगा
123,हु बेसहारा पल्सर के स्पीयर पार्ट्स दिखाना पल्सर गाड़ी के स्पीयर पार्ट्स 
124,ब्लेजर लॉन्ग टॉप बहुत सारा 
125,मुझे केक डेकोरेशन का आइटम्स चाहिए आपके पास है क्या 
