248,HI,आपके पास रबर हैंड ग्लव्स हैं क्या 
249,HI,गाए का देसी घी कार्ट में डाल दो 
250,EN,show me anarkali suits
251,HI,ये परलेग बिस्कुट कितने का हैं 
252,EN,can i watch more exciting deals on flipkart
253,HI,एक फ़ास्ट ट्रैक की घडी दिखाओ 
254,HI,छोटा सा बैग चाहिए मुझे 
255,HI,कुकिंग सेट दिखाइए 
256,EN,show me red colour bangles
257,HI,प्लेस्टेशन फाइव फाइव अवेलेबल हैं न 
260,HI,अमिश त्रिपाठी की बुक मिलेगी क्या 
261,HI,किलो आशीर्वाद अत का रेट कितना पड़ेगा 
262,HI,छोटे बच्चे की साइकिल 
263,EN,wildcraft pollution mask antibacterial mask
264,EN,show me banarasi saree
265,HI,विंडो कर्टेंस में क्या हैं आपके पास 
266,EN,i need shoes
267,EN,milton thomas five hundred ml flask
268,HI,लेहेंगा दिखाओ  इंक दिखाओ 
269,EN,show me clutches and sling bags
270,HI,सैमसंग फोर स्टार फ्रिज का रेफ्रीजिरेटर का प्राइस क्या होगा 
